K,Nt,erro_maximo,residuo_maximo,condicao_maxima
1,3,1.6995397386140412,2.520527603689692,5.82842712474619
2,5,0.2956938661240529,0.7168937537562008,5.82842712474619
4,9,0.005601070515741269,0.02431111443578171,5.82842712474619
8,17,1.9875531065416396e-07,1.6774929199048216e-06,5.82842712474619
16,33,1.3877787807814457e-15,4.440892098500626e-15,5.82842712474619
32,65,1.3322676295501878e-15,3.552713678800501e-15,5.82842712474619
64,129,8.881784197001252e-16,4.218847493575595e-15,5.82842712474619
