K,Nt,erro_maximo
2,5,0.2906170112021442
4,9,0.18646658470606217
8,17,0.10724946502042852
16,33,0.057787762065687594
32,65,0.03003450056708519
64,129,0.01531622981724382
128,257,0.007734681360163452
